sep=;
Timestamp [us];Power measure [mW]
3475147.000000;24
3476283.000000;30
3477405.000000;35
3478525.000000;39
3479645.000000;44
3480765.000000;47
3481885.000000;51
3483154.000000;57
3484274.000000;61
3485397.000000;64
3486517.000000;66
3487637.000000;69
3488757.000000;71
3489876.000000;73
3491163.000000;79
3492283.000000;81
3493405.000000;83
3494526.000000;85
3495647.000000;87
3496768.000000;88
3497889.000000;89
3499255.000000;92
3500377.000000;95
3501498.000000;97
3502620.000000;98
3503741.000000;99
3504862.000000;101
3506164.000000;104
3507285.000000;105
3508406.000000;106
3509527.000000;108
3510648.000000;108
3511769.000000;109
3512890.000000;111
3514154.000000;114
3515275.000000;116
3516396.000000;117
3517517.000000;118
3518638.000000;119
3519759.000000;121
3520880.000000;121
3522155.000000;124
3523333.000000;124
3524454.000000;126
3525575.000000;128
3526696.000000;130
3527817.000000;132
3529166.000000;136
3530288.000000;138
3531410.000000;140
3532531.000000;142
3533652.000000;143
3534773.000000;145
3535895.000000;147
3537168.000000;155
3538293.000000;159
3539416.000000;163
3540537.000000;165
3541658.000000;168
3542779.000000;170
3544131.000000;173
3545253.000000;177
3546374.000000;179
3547495.000000;181
3548616.000000;186
3549737.000000;192
3550857.000000;196
3552169.000000;202
3553348.000000;202
3554469.000000;206
3555592.000000;207
3556713.000000;206
3557834.000000;210
3559175.000000;209
3560339.000000;210
3561460.000000;214
3562582.000000;213
3563702.000000;213
3564823.000000;212
3566169.000000;215
3567347.000000;214
3568468.000000;217
3569589.000000;216
3570710.000000;216
3571831.000000;216
3573318.000000;219
3574439.000000;218
3575560.000000;217
3576680.000000;220
3577804.000000;219
3579323.000000;218
3580445.000000;221
3581566.000000;220
3582686.000000;219
3583807.000000;218
3585160.000000;221
3586345.000000;218
3587465.000000;222
3588586.000000;221
3589707.000000;220
3590828.000000;219
3592175.000000;222
3593296.000000;220
3594417.000000;219
3595538.000000;222
3596659.000000;222
3597780.000000;220
3598901.000000;218
3600173.000000;222
3601353.000000;220
3602475.000000;223
3603597.000000;222
3604718.000000;221
3605839.000000;219
3607173.000000;223
3608295.000000;221
3609416.000000;220
3610537.000000;224
3611658.000000;223
3612779.000000;222
3613900.000000;220
3615175.000000;222
3616354.000000;220
3617475.000000;224
3618596.000000;223
3619717.000000;222
3620839.000000;221
3622177.000000;224
3623298.000000;222
3624418.000000;221
3625539.000000;224
3626660.000000;224
3627781.000000;222
3628902.000000;220
3630175.000000;223
3631296.000000;221
3632417.000000;220
3633537.000000;224
3634658.000000;222
3635782.000000;221
3636903.000000;224
3638175.000000;222
3639354.000000;221
3640475.000000;225
3641598.000000;224
3642719.000000;222
3643840.000000;221
3645176.000000;223
3646346.000000;221
3647470.000000;224
3648591.000000;223
3649712.000000;222
3650833.000000;221
3652178.000000;223
3653298.000000;223
3654419.000000;221
3655540.000000;224
3656661.000000;224
3657782.000000;222
3658904.000000;221
3660177.000000;223
3661298.000000;222
3662419.000000;220
3663539.000000;223
3664660.000000;223
3665782.000000;221
3666903.000000;219
3668178.000000;223
3669299.000000;222
3670420.000000;220
3671541.000000;224
3672662.000000;224
3673783.000000;222
3674904.000000;220
3676180.000000;223
3677357.000000;221
3678478.000000;225
3679599.000000;224
3680720.000000;223
3681841.000000;221
3683325.000000;224
3684445.000000;224
3685566.000000;222
3686687.000000;221
3687808.000000;225
3689336.000000;223
3690456.000000;225
3691583.000000;224
3692704.000000;222
3693824.000000;221
3695182.000000;223
3696352.000000;221
3697472.000000;225
3698594.000000;224
3699715.000000;223
3700836.000000;222
3702324.000000;224
3703445.000000;222
3704566.000000;220
3705687.000000;224
3706808.000000;223
3708332.000000;221
3709453.000000;224
3710576.000000;224
3711697.000000;222
3712818.000000;221
3714171.000000;225
3715354.000000;222
3716475.000000;225
3717599.000000;225
3718721.000000;222
3719844.000000;221
3721181.000000;224
3722302.000000;222
3723423.000000;220
3724563.000000;224
3725684.000000;223
3726805.000000;221
3728313.000000;220
3729433.000000;224
3730554.000000;222
3731675.000000;221
3732797.000000;225
3734317.000000;223
3735444.000000;224
3736565.000000;224
3737686.000000;222
3738807.000000;221
3740161.000000;225
3741282.000000;222
3742403.000000;221
3743524.000000;224
3744645.000000;223
3745766.000000;221
3746888.000000;224
3748183.000000;222
3749354.000000;221
3750476.000000;224
3751597.000000;224
3752717.000000;222
3753838.000000;220
3755184.000000;222
3756362.000000;220
3757483.000000;224
3758607.000000;224
3759729.000000;223
3760851.000000;221
3762331.000000;224
3763452.000000;222
3764572.000000;221
3765693.000000;224
3766814.000000;224
3768341.000000;222
3769462.000000;225
3770582.000000;224
3771704.000000;222
3772825.000000;221
3774176.000000;225
3775360.000000;221
3776480.000000;224
3777602.000000;224
3778723.000000;222
3779845.000000;221
3781185.000000;224
3782306.000000;223
3783427.000000;221
3784548.000000;225
3785668.000000;225
3786789.000000;223
3787910.000000;222
3789217.000000;224
3790361.000000;222
3791483.000000;225
3792604.000000;224
3793725.000000;222
3794847.000000;221
3796185.000000;224
3797306.000000;222
3798427.000000;221
3799548.000000;225
3800669.000000;223
3801791.000000;221
3802913.000000;224
3804187.000000;222
3805363.000000;220
3806484.000000;224
3807605.000000;224
3808727.000000;222
3809847.000000;220
3811187.000000;224
3812308.000000;222
3813429.000000;220
3814550.000000;225
3815671.000000;224
3816791.000000;222
3817915.000000;221
3819190.000000;224
3820365.000000;222
3821486.000000;225
3822611.000000;224
3823733.000000;223
3824854.000000;221
3826188.000000;224
3827309.000000;223
3828430.000000;222
3829551.000000;221
3830672.000000;224
3831793.000000;223
3832914.000000;221
3834190.000000;223
3835368.000000;222
3836490.000000;224
3837611.000000;223
3838733.000000;223
3839853.000000;221
3841191.000000;224
3842311.000000;223
3843432.000000;221
3844553.000000;220
3845674.000000;224
3846798.000000;222
3848308.000000;220
3849432.000000;223
3850553.000000;222
3851673.000000;220
3852794.000000;224
3853915.000000;223
3855364.000000;220
3856485.000000;223
3857610.000000;223
3858730.000000;221
3859851.000000;220
3861193.000000;223
3862314.000000;222
3863435.000000;221
3864556.000000;224
3865678.000000;224
3866799.000000;222